education_key,literacy_rate_total,literacy_rate_male,literacy_rate_female,enrollment_rate_primary_total,enrollment_rate_primary_male,enrollment_rate_primary_female,enrollment_rate_secondary_total,enrollment_rate_secondary_male,enrollment_rate_secondary_female,enrollment_rate_tertiary_total,enrollment_rate_tertiary_male,enrollment_rate_tertiary_female,public_education_spending
122,56.97714996,69.06681061,44.28342056,84.30747223,90.68501282,77.39932251,37.32049179,41.47291183,32.83697128,9.659850121,9.36887,9.96778965,2.465929985
123,,,,85.08992004,91.42446136,78.25324249,39.60364914,43.95138931,34.89731979,9.225899696,9.82605,8.589209557,2.650019884
124,,,,91.31745911,98.2248764,83.88246918,40.9597702,45.02035904,36.55670166,9.032739639,9.6313,8.395770073,3.002919912
125,59.13204956,71.11599731,46.46767044,90.58917236,96.99446106,83.70681763,40.40158844,44.38486862,36.08089066,9.348919868,9.97807,8.677350044,2.89951992
126,57.01057053,69.27658081,45.39839935,94.32820129,101.9784775,86.11134338,42.67465973,45.92734146,39.14799118,8.9584198,9.55403,8.320440292,
127,57.99885941,69.28746033,46.49003983,95.48413849,101.2893066,89.24362946,44.8681488,47.89506912,41.59032059,12.22064018,,12.11791992,2.507550001
128,,,,,,,,,,,,,
129,,,,101.8740234,102.411377,101.3106003,95.0524826,94.20211029,95.9484787,80.63482666,66.93172,95.19016266,
130,,,,,,,,,,,68.77082,,
131,,,,,,,,,,,69.41766,,
132,,,,,,,,,,,70.93422,,
133,,,,,,,,,,,73.27885,,
134,,,,,,,,,,,77.70586,,
135,,,,,,,,,,,79.01522,,
136,,,,,,,,,,,78.17828,,
137,,,,99.45543671,99.85974884,99.0333786,96.18649292,96.06963348,96.30905914,88.72641754,75.07691,103.1126099,
138,,,,99.67337799,99.83744049,99.50208282,96.92453766,96.36253357,97.51304626,88.6268692,75.39736,102.5993881,
139,,,,100.2999115,100.3120422,100.287262,97.65254974,97.15371704,98.17357635,88.88941193,75.75902,102.7473297,
140,,,,101.3628616,101.4457779,101.276413,98.76992798,99.05283356,98.47470856,88.83505249,76.06227,102.2938004,
141,,,,101.8214417,102.2044601,101.4219971,98.95233917,99.19851685,98.69555664,88.16738892,74.99719,102.0113297,
142,,,,101.2565613,101.3142395,101.196373,99.27558136,99.73565674,98.79605865,88.29917908,74.89505,102.3540421,
143,,,,100.9813004,100.634079,101.3437424,100.0634308,100.9021225,99.18945313,87.88871002,,102.4253311,
144,,,,,,,,,,,,,
